Line	Date	Time	SpectrumFile	LibraryFile	Water vapor H2O	Unit	 Compensation	 Residual	Carbon dioxide CO2	Unit	 Compensation	 Residual	Carbon monoxide CO	Unit	 Compensation	 Residual	Nitrous oxide N2O	Unit	 Compensation	 Residual	Ammonia NH3	Unit	 Compensation	 Residual	Methane CH4	Unit	 Compensation	 Residual	Pressure	Unit	 Compensation	 Residual	Cell temperature	Unit	 Compensation	 Residual	Electronics temperature	Unit	 Compensation	 Residual	 Status
0	2024-07-09	11:08:33	C:\SN58317\Samples\20240709_piu\20240709\SAMPLE_00074.SPEX	GAS-APP-006_SN58317_c14_135_Rev1.CLIB	  2.47	vol-%	wet	0.0026	814.01	ppm	wet	0.0011	 0.000	ppm	wet	0.0022	0.2345	ppm	wet	0.0002	 0.128	ppm	wet	0.0011	 0.988	ppm	wet	0.0028	945.70	mbar	N/A	0.0000	 44.20	C	N/A	0.0000	 54.34	C	N/A	0.0000	OK
0	2024-07-09	11:10:33	C:\SN58317\Samples\20240709_piu\20240709\SAMPLE_00075.SPEX	GAS-APP-006_SN58317_c14_135_Rev1.CLIB	  2.50	vol-%	wet	0.0026	823.03	ppm	wet	0.0011	 0.000	ppm	wet	0.0022	0.2413	ppm	wet	0.0002	 0.149	ppm	wet	0.0011	 1.040	ppm	wet	0.0028	945.60	mbar	N/A	0.0000	 44.16	C	N/A	0.0000	 54.29	C	N/A	0.0000	OK
0	2024-07-09	11:14:11	C:\SN58317\Samples\20240709_piu\20240709\SAMPLE_00076.SPEX	GAS-APP-006_SN58317_c14_135_Rev1.CLIB	  2.48	vol-%	wet	0.0026	833.60	ppm	wet	0.0011	 0.000	ppm	wet	0.0022	0.2458	ppm	wet	0.0002	 0.104	ppm	wet	0.0012	 1.105	ppm	wet	0.0027	945.60	mbar	N/A	0.0000	 44.23	C	N/A	0.0000	 54.18	C	N/A	0.0000	OK
0	2024-07-09	11:16:32	C:\SN58317\Samples\20240709_piu\20240709\SAMPLE_00077.SPEX	GAS-APP-006_SN58317_c14_135_Rev1.CLIB	  2.51	vol-%	wet	0.0026	847.66	ppm	wet	0.0011	 0.000	ppm	wet	0.0022	0.2520	ppm	wet	0.0002	 0.132	ppm	wet	0.0012	 1.139	ppm	wet	0.0028	945.60	mbar	N/A	0.0000	 44.17	C	N/A	0.0000	 54.18	C	N/A	0.0000	OK
0	2024-07-09	11:17:22	C:\SN58317\Samples\20240709_piu\20240709\SAMPLE_00078.SPEX	GAS-APP-006_SN58317_c14_135_Rev1.CLIB	  2.57	vol-%	wet	0.0026	853.85	ppm	wet	0.0012	 0.000	ppm	wet	0.0022	0.2529	ppm	wet	0.0002	 0.171	ppm	wet	0.0012	 1.134	ppm	wet	0.0028	945.60	mbar	N/A	0.0000	 44.16	C	N/A	0.0000	 54.14	C	N/A	0.0000	OK
0	2024-07-09	11:18:12	C:\SN58317\Samples\20240709_piu\20240709\SAMPLE_00079.SPEX	GAS-APP-006_SN58317_c14_135_Rev1.CLIB	  2.59	vol-%	wet	0.0027	859.53	ppm	wet	0.0012	 0.000	ppm	wet	0.0022	0.2570	ppm	wet	0.0002	 0.144	ppm	wet	0.0012	 1.130	ppm	wet	0.0028	945.60	mbar	N/A	0.0000	 44.14	C	N/A	0.0000	 54.11	C	N/A	0.0000	OK
0	2024-07-09	11:19:02	C:\SN58317\Samples\20240709_piu\20240709\SAMPLE_00080.SPEX	GAS-APP-006_SN58317_c14_135_Rev1.CLIB	  2.61	vol-%	wet	0.0027	862.14	ppm	wet	0.0012	 0.000	ppm	wet	0.0022	0.2639	ppm	wet	0.0002	 0.134	ppm	wet	0.0012	 1.147	ppm	wet	0.0029	945.60	mbar	N/A	0.0000	 44.14	C	N/A	0.0000	 54.11	C	N/A	0.0000	OK
0	2024-07-09	11:19:52	C:\SN58317\Samples\20240709_piu\20240709\SAMPLE_00081.SPEX	GAS-APP-006_SN58317_c14_135_Rev1.CLIB	  2.61	vol-%	wet	0.0027	868.37	ppm	wet	0.0012	 0.000	ppm	wet	0.0022	0.2602	ppm	wet	0.0003	 0.136	ppm	wet	0.0011	 1.195	ppm	wet	0.0029	945.60	mbar	N/A	0.0000	 44.10	C	N/A	0.0000	 54.08	C	N/A	0.0000	OK
0	2024-07-09	11:20:42	C:\SN58317\Samples\20240709_piu\20240709\SAMPLE_00082.SPEX	GAS-APP-006_SN58317_c14_135_Rev1.CLIB	  2.62	vol-%	wet	0.0027	874.14	ppm	wet	0.0012	 0.000	ppm	wet	0.0022	0.2683	ppm	wet	0.0002	 0.135	ppm	wet	0.0012	 1.233	ppm	wet	0.0028	945.50	mbar	N/A	0.0000	 44.09	C	N/A	0.0000	 54.03	C	N/A	0.0000	OK
0	2024-07-09	11:21:32	C:\SN58317\Samples\20240709_piu\20240709\SAMPLE_00083.SPEX	GAS-APP-006_SN58317_c14_135_Rev1.CLIB	  2.61	vol-%	wet	0.0028	879.81	ppm	wet	0.0012	 0.000	ppm	wet	0.0022	0.2737	ppm	wet	0.0002	 0.149	ppm	wet	0.0012	 1.240	ppm	wet	0.0028	945.60	mbar	N/A	0.0000	 44.07	C	N/A	0.0000	 53.99	C	N/A	0.0000	OK
