Sample ID	Date	Start Time	End Time	Temperature	Extension
1	2024-07-09	11:15:31	11:24:00	27	0
2	2024-07-09	11:33:43	11:41:30	27	0
3	2024-07-09	11:45:00	11:53:58	27	0
4	2024-07-09	11:56:55	12:05:10	27	0
5	2024-07-09	12:07:55	12:15:55	27	0
6	2024-07-09	12:18:55	12:26:55	27	0
7	2024-07-09	12:30:35	12:38:55	27	0
8	2024-07-09	12:41:26	12:49:26	27	0
9	2024-07-09	12:53:55	13:01:55	27	0
10	2024-07-09	13:04:16	13:12:16	27	0
11	2024-07-09	13:16:58	13:24:24	27	0
12	2024-07-09	13:27:55	13:35:55	27	0
13	2024-07-09	13:37:58	13:45:58	27	0
14	2024-07-09	13:49:00	13:57:47	27	0
15	2024-07-09	14:00:25	14:08:25	27	0
16	2024-07-09	14:11:50	14:19:15	27	0
17	2024-07-09	14:25:10	14:33:10	27	0
18	2024-07-09	14:36:55	14:45:10	27	0
19	2024-07-09	14:49:45	14:57:45	27	0
20	2024-07-09	14:59:40	15:09:17	27	0
21	2024-07-09	15:11:25	15:19:25	27	0
22	2024-07-09	15:22:40	15:30:40	27	0
23	2024-07-09	15:33:20	15:41:20	27	0
24	2024-07-09	15:46:40	15:54:40	27	0
25	2024-07-09	15:56:30	16:04:30	27	0
26	2024-07-09	16:07:45	16:15:45	27	0
27	2024-07-09	16:17:08	16:25:26	27	0
28	2024-07-09	16:27:08	16:35:24	27	0
29	2024-07-09	16:36:44	16:45:01	27	0
30	2024-07-09	16:46:34	16:55:52	27	0
